"AC (Accession Number)","DE (Protein Name)"
"B6DCL1","U1-lycotoxin-Ls1j"
"B6DCP2","U1-lycotoxin-Ls1kk"
"B6DCM9","U1-lycotoxin-Ls1x"
"B3FIS1","U5-theraphotoxin-Hs1d"
"O46166","U1-agatoxin-Ta1a"
"P0DJ71","Kunitz-type U15-theraphotoxin-Hhn1d"
"D2Y2F4","Kunitz-type U15-theraphotoxin-Hhn1c"
"D2Y2Q1","Kunitz-type U15-theraphotoxin-Hhn1l"
"P61102","Mu-segestritoxin-Sf1h"
"C9D7R3","Astacin-like metalloprotease toxin 3"
"P82228","Kappa-hexatoxin-Hv1c"
"P82852","Omega-hexatoxin-Hv2a"
"B3EWV0","Short cationic peptide-5a"
"P83557","Mu-hexatoxin-Mg1b"
"B2ZBB9","Kunitz-type U15-theraphotoxin-Hs1b"
"B3EWU1","Short cationic peptide-1a"
"Q5Y4X3","U2-agatoxin-Ao1m"
"Q5Y4U6","Mu-agatoxin-Ao1b"
"Q5Y4Y3","U2-agatoxin-Ao1c"
"B6DD05","U10-lycotoxin-Ls1b"
"P0DP48","Pi-hexatoxin-Hi1d"
"B3EWW5","Cupiennin-6a"
"P15967","Mu-agatoxin-Hc1a"
"B3EWT1","Toxin CSTX-11"
"B6DCX6","U8-lycotoxin-Ls1v"
"B6DCV2","U6-lycotoxin-Ls1c"
"P85505","Mu-thomitoxin-Hme1a"
"P83904","Delta-ctenitoxin-Pr2d"
"P49267","U1-cyrtautoxin-As1a"
"B6DCR8","U3-lycotoxin-Ls1i"
"P0CH71","U2-theraphotoxin-Hhn1a"
"P60272","U2-hexatoxin-Hi1a"
"P11062","Mu-agatoxin-Aa1f"
"P0C2L5","Omega-hexatoxin-Hi1a"
"S0F1M9","Kappa-hexatoxin-Hv1e"
"P81745","Omega-agatoxin-Aa3c"
"A5A3H3","Omega-hexatoxin-Ar1d"
"P81595","Omega-hexatoxin-Hv1b"
"P61101","Mu-segestritoxin-Sf1g"
"Q5Y4U3","U9-agatoxin-Ao1a"
"B6DD11","U11-lycotoxin-Ls1a"
"B6DCM6","U1-lycotoxin-Ls1b"
"B3EWT7","Cupiennin-2b"
"B6DCN9","U1-lycotoxin-Ls1hh"
"B6DCN7","U1-lycotoxin-Ls1ff"
"B6DD37","U14-lycotoxin-Ls1b"
"P83896","U4-ctenitoxin-Pk1a"
"B6DD31","U2-lycotoxin-Ls1c"
"B3FIQ7","U10-theraphotoxin-Hs2a"
"P81791","U7-ctenitoxin-Pn1a"
"B6DCR7","U3-lycotoxin-Ls1h"
"P83892","U4-ctenitoxin-Pr1a"
"B6DCR1","U3-lycotoxin-Ls1e"
"D2Y2D8","Hainantoxin-XV-4"
"B6DCV7","U6-lycotoxin-Ls1d"
"B6DCS5","U3-lycotoxin-Ls1n"
"P83901","U8-ctenitoxin-Pr1a"
"B6DCW4","U7-lycotoxin-Ls1e"
"D5J6X1","Omega-theraphotoxin-Cc1a"
"S0F1N6","Omega-hexatoxin-Hi1d"
"P0DP47","Pi-hexatoxin-Hi1c"
"B6DCK6","U1-lycotoxin-Ls1b"
"B6DCP0","U1-lycotoxin-Ls1ii"
"P83996","U17-ctenitoxin-Pn1a"
"P83621","Cupiennin-1c"
"B6DCL6","U1-lycotoxin-Ls1m"
"B6DD32","U2-lycotoxin-Ls1d"
"O76198","U2-ctenitoxin-Pn1b"
"B3EWV7","Cupiennin-4b"
"O76201","Omega-ctenitoxin-Pn1a"
"B6DCX4","U8-lycotoxin-Ls1r"
"P68422","U1-theraphotoxin-Hs1f"
"P81789","Omega-ctenitoxin-Pn2a"
"W4VRX0","Toxin ICK-22"
"P0C2S7","U11-ctenitoxin-Pn1a"
"P85235","U11-ctenitoxin-Co1a"
"P85273","U14-ctenitoxin-Co1a"
"B3EWX4","Short cationic peptide-6d"
"Q7M3P1","U28-ctenitoxin-Pn1a"
"B6DD08","U11-lycotoxin-Ls1b"
"B6DCR4","U3-lycotoxin-Ls1a"
"B6DD43","U15-lycotoxin-Ls1a"
"B6DD25","U13-lycotoxin-Ls1f"
"B6DCS7","U3-lycotoxin-Ls1p"
"B6DCS8","U3-lycotoxin-Ls1k"
"B3EWV2","Cupiennin-3b"
"P83915","U3-ctenitoxin-Pk1a"
"B6DD56","U19-lycotoxin-Ls1a"
"B6DCT8","U4-lycotoxin-Ls1a"
"B6DCU2","Toxin-like structure LSTX-D3"
"B6DCU3","Toxin-like structure LSTX-D4"
"D2Y2Q7","Kunitz-type U15-theraphotoxin-Hhn1p"
"Q8T3S7","Kunitz-type U1-aranetoxin-Av1a"
"P85257","M-zodatoxin-Lt8e"
"P0CAZ9","M-zodatoxin-Lt8q"
"C0JB85","Dermonecrotic toxin SdSicTox-betaIIB1bxi"
"C0JB77","Dermonecrotic toxin SdSicTox-betaIIB1aii"
"P85253","M-zodatoxin-Lt8a"
"C0JB29","Dermonecrotic toxin LlSicTox-alphaIV3"
"P85259","M-zodatoxin-Lt8g"
"C0JAQ9","Dermonecrotic toxin LhSicTox-alphaIA2aiii"
"C0JAX9","Dermonecrotic toxin LdSicTox-alphaIB3av"
"C0JB35","Dermonecrotic toxin SpeSicTox-betaIB1a"
"P60978","U1-nemetoxin-Csp1c"
"C0HJV5","Cytoinsectotoxin-3"
"P0CH43","Tau-theraphotoxin-Hs1a"
"C0JAY5","Dermonecrotic toxin LsaSicTox-alphaIB1aiii"
"C0JB49","Dermonecrotic toxin LspiSicTox-betaIE1i"
"P0CAZ5","M-zodatoxin-Lt8l"
"P0CE78","Dermonecrotic toxin LrSicTox-alphaIA1i"
"C0JAX4","Dermonecrotic toxin LdSicTox-alphaIB3aii"
"C0JAY9","Dermonecrotic toxin LsaSicTox-alphaIB1av"
"C0JAT8","Dermonecrotic toxin LhSicTox-alphaIA1iv"
"C0JAS6","Dermonecrotic toxin LspaSicTox-alphaIA2i"
"C0JB19","Dermonecrotic toxin LamSicTox-alphaIV1ii"
"C0JAU6","Dermonecrotic toxin LarSicTox-alphaIB2c"
"C0JB87","Dermonecrotic toxin SdSicTox-betaIIB1bxiii"
"C0JB57","Dermonecrotic toxin SpeSicTox-betaIIA3ii"
"C0JB79","Dermonecrotic toxin SdSicTox-betaIIB1ai"
"C0JB47","Dermonecrotic toxin LspiSicTox-betaIE4ii"
"P83659","Cyphokinin"
"P0DL32","Fulvonin"
"C0JAT5","Dermonecrotic toxin LhSicTox-alphaIA1ii"
"C0JB45","Dermonecrotic toxin LspiSicTox-betaIE3ii"
"C0JB38","Dermonecrotic toxin SpeSicTox-betaIB2b"
"P0CAZ3","M-zodatoxin-Lt8j"
"Q7Z1N0","Dermonecrotic toxin LarSicTox-alphaI-1"
"C0JB71","Dermonecrotic toxin SdSicTox-betaIIB1bi"
"C0JB50","Dermonecrotic toxin LspiSicTox-betaIE1ii"
"P85254","M-zodatoxin-Lt8b"
"P85258","M-zodatoxin-Lt8f"
"P0C2K6","Dermonecrotic toxin LgSicTox-beta-LOXN4"
"C0JB51","Dermonecrotic toxin LafSicTox-betaIE1"
"C0JB18","Dermonecrotic toxin LamSicTox-alphaIV1i"
"C0JAR9","Dermonecrotic toxin LhSicTox-alphaIA2bi"
"C0JAX7","Dermonecrotic toxin LdSicTox-alphaIB3aiv"
"C0JB02","Dermonecrotic toxin LruSicTox-alphaIC1d"
"C0HJV4","Cytoinsectotoxin-2c"
"P0C1R3","Delta-hexatoxin-Iw1a"
"P0C2K3","Dermonecrotic toxin LgSicTox-beta-LOXN1/LOXN7"
"P0C2K4","Dermonecrotic toxin LgSicTox-beta-LOXN2"
"P0C2L0","Dermonecrotic toxin LiSicTox-alphaI-1"
"B2KKV6","Dermonecrotic toxin LiSicTox-alphaIA2bi"
"C0JB01","Dermonecrotic toxin LruSicTox-alphaIC1c"
"C0JAV1","Dermonecrotic toxin LarSicTox-alphaIB1aiii"
"C0JAZ5","Dermonecrotic toxin LvSicTox-alphaIC1bii"
"C0JB93","Dermonecrotic toxin LspiSicTox-betaIII2"
"C0JB60","Dermonecrotic toxin SpeSicTox-betaIIA2i"
"C0JB65","Dermonecrotic toxin SpeSicTox-betaIIA2v"
"P81885","Delta-hexatoxin-Hv1b"
"P85247","M-zodatoxin-Lt8h"
"C0JB53","Dermonecrotic toxin SpeSicTox-betaIF1"
"C0JB43","Dermonecrotic toxin LspiSicTox-betaIE2iii"
"C0JB36","Dermonecrotic toxin SpeSicTox-betaIB1b"
"P85256","M-zodatoxin-Lt8d"
"C0JB33","Dermonecrotic toxin SpeSicTox-betaIB3"
"C0JB55","Dermonecrotic toxin SdSicTox-betaIF1"
"C0JB34","Dermonecrotic toxin SpeSicTox-betaIB4"
"C0JB88","Dermonecrotic toxin SdSicTox-betaIIB1bxiv"
"C0JB46","Dermonecrotic toxin LspiSicTox-betaIE4i"
"C0JAZ7","Dermonecrotic toxin LvSicTox-alphaIC1biv"
"Q1KY79","Dermonecrotic toxin LlSicTox-alphaIII2"
"Q27Q54","Dermonecrotic toxin LiSicTox-betaIA1ii"
"C0JB91","Dermonecrotic toxin SaSicTox-betaIIB1"
"C0JAS3","Dermonecrotic toxin LhSicTox-alphaIA2bv"
"Q7M485","Dermonecrotic toxin LrSicTox-alphaI-1"
"C0JAX0","Dermonecrotic toxin LdSicTox-alphaIB1av"
"C0JB62","Dermonecrotic toxin SpeSicTox-betaIIA2iv"
"C0JB56","Dermonecrotic toxin SpeSicTox-betaIIA3i"
"C0JB26","Dermonecrotic toxin LlSicTox-alphaIV2ii"
"C0JAW3","Dermonecrotic toxin LarSicTox-alphaIB1c"
"C0JAZ6","Dermonecrotic toxin LvSicTox-alphaIC1biii"
"C0JB94","Dermonecrotic toxin LspiSicTox-betaIII1"
"Q5YD76","Dermonecrotic toxin LbSicTox-betaIA1a"
"C0JB58","Dermonecrotic toxin SpeSicTox-betaIIA2ii"
"C0JB41","Dermonecrotic toxin LspiSicTox-betaIE2i"
"C0JB74","Dermonecrotic toxin SdSicTox-betaIIB1biv"
"C0JB81","Dermonecrotic toxin SdSicTox-betaIIB1bvii"
"C0JB69","Dermonecrotic toxin SpaSicTox-betaIIA2"
"C0JB70","Dermonecrotic toxin SpaSicTox-betaIIA3"
"C0JAS8","Dermonecrotic toxin LspaSicTox-alphaIA2iii"
"C0JAU7","Dermonecrotic toxin LsaSicTox-alphaIB2i"
"C0JB68","Dermonecrotic toxin SpaSicTox-betaIIA1"
"C0JB37","Dermonecrotic toxin SpeSicTox-betaIB2a"
"C0JB15","Dermonecrotic toxin LhSicTox-alphaIV1ii"
"C0JAW5","Dermonecrotic toxin LdSicTox-alphaIB1bii"
"C0JAV2","Dermonecrotic toxin LarSicTox-alphaIB1aiv"
"C0JB21","Dermonecrotic toxin LruSicTox-alphaIV1"
"P0C2K9","Dermonecrotic toxin LgSicTox-beta-LOXN8"
"P0C2K5","Dermonecrotic toxin LgSicTox-beta-LOXN3"
"C0JB12","Dermonecrotic toxin LlSicTox-alphaIII3ii"
"C0JB86","Dermonecrotic toxin SdSicTox-betaIIB1bxii"
"P60977","U1-nemetoxin-Csp1b"
"C0JAZ4","Dermonecrotic toxin LvSicTox-alphaIC1bi"
"C0JB48","Dermonecrotic toxin LafSicTox-betaIE2"
"C0JAV0","Dermonecrotic toxin LarSicTox-alphaIB1aii"
"C0JAW7","Dermonecrotic toxin LdSicTox-alphaIB1aii"
"C0JB25","Dermonecrotic toxin LlSicTox-alphaIV2i"
"C0JB05","Dermonecrotic toxin LspaSicTox-alphaII1"
"P0C2K0","Dermonecrotic toxin LbSicTox-alphaIB1b"
"C0JB28","Dermonecrotic toxin LlSicTox-alphaIV2iv"
"C0JAR2","Dermonecrotic toxin LhSicTox-alphaIA2av"
"Q4VDB5","Dermonecrotic toxin LgSicTox-alphaIA1"
"P0C2K1","Dermonecrotic toxin LdSicTox-alpha-1"
"C0JB61","Dermonecrotic toxin SpeSicTox-betaIIA2iii"
"E5D3Z9","Dermonecrotic toxin"
"C0JAX5","Dermonecrotic toxin LdSicTox-alphaIB3aiii"
"C0JB06","Dermonecrotic toxin LvSicTox-alphaII1"
"C0JAW4","Dermonecrotic toxin LdSicTox-alphaIB1bi"
"C0JAW6","Dermonecrotic toxin LdSicTox-alphaIB1ai"
"C0JB73","Dermonecrotic toxin SdSicTox-betaIIB1biii"
"C0JB82","Dermonecrotic toxin SdSicTox-betaIIB1bviii"
"P60976","U1-nemetoxin-Csp1a"
"C0JAU8","Dermonecrotic toxin LsaSicTox-alphaIB2ii"
"C0JAT3","Dermonecrotic toxin LspaSicTox-alphaIA2iv"
"Q4ZFU1","Dermonecrotic toxin LarSicTox-alphaIB1ai"
"P83660","Cd-146 peptide"
"C0JB90","Dermonecrotic toxin SdSicTox-betaIIB2ii"
"C0JAZ1","Dermonecrotic toxin LvSicTox-alphaIC1ai"
"C0JB07","Dermonecrotic toxin LapSicTox-alphaII1"
"D2Y240","U3-theraphotoxin-Hhn1a 1"
"D2Y2M3","U3-theraphotoxin-Hhn1c"
"D2Y2F1","Omega-theraphotoxin-Hhn1c"
"D2Y2L8","Omega-theraphotoxin-Hhn1e"
"D2Y236","Omega-theraphotoxin-Hhn1f 1"
"D2Y2I0","U11-theraphotoxin-Hhn1w"
"D2Y251","Hainantoxin-XVIII"
"D2Y2R1","Hainantoxin-X.2"
"C0JAZ0","Dermonecrotic toxin LsaSicTox-alphaIB1avi"
"W4VRU6","U16-barytoxin-Tl1c"
"W4VSA7","U16-barytoxin-Tl1e"
"D2Y294","U11-theraphotoxin-Hhn1a"
"D2Y2P5","U11-theraphotoxin-Hhn1x"
"D2Y284","U11-theraphotoxin-Hhn1n"
"C0JB30","Dermonecrotic toxin LarSicTox-alphaVII1"
"D2Y213","U4-theraphotoxin-Hhn1aa"
"D2Y243","U3-theraphotoxin-Hhn1a 4"
"D2Y2P2","Hainantoxin-XVIII.2"
"D2Y1Z7","Hainantoxin-III 7"
"D2Y211","U4-theraphotoxin-Hhn1a"
"D2Y212","U4-theraphotoxin-Hhn1a"
"W4VRV7","Toxin ICK-42"
"Q1ELT9","M-zodatoxin-Lt1a"
"C0JAX3","Dermonecrotic toxin LdSicTox-alphaIB3ai"
"C0JAV3","Dermonecrotic toxin LapSicTox-alphaIB1ai"
"C0JAT4","Dermonecrotic toxin LhSicTox-alphaIA1i"
"C0JAU2","Dermonecrotic toxin LspaSicTox-alphaIA1iii"
"C0JAW8","Dermonecrotic toxin LdSicTox-alphaIB1aiii"
"D2Y220","U4-theraphotoxin-Hhn1ad"
"D2Y221","U4-theraphotoxin-Hhn1b"
"D2Y291","U11-theraphotoxin-Hhn1u"
"R4J7Z9","Hyaluronidase"
"Q1ELU1","M-zodatoxin-Lt2a"
"P61508","M-lycotoxin-Hc2a"
"D2Y249","U3-theraphotoxin-Hhn1a 6"
"D2Y2G5","U3-theraphotoxin-Hhn1a 10"
"D2Y2M1","U3-theraphotoxin-Hhn1a 12"
"D2Y248","U3-theraphotoxin-Hhn1a 5"
"D2Y2L2","U4-theraphotoxin-Hhn1a"
"D2Y255","U11-theraphotoxin-Hhn1a"
"D2Y1Y1","Hainantoxin-III"
"D2Y2J4","U4-theraphotoxin-Hhn1m"
"D2Y1Y9","Mu-theraphotoxin-Hhn2n"
"D2Y2H1","Hainantoxin-XVIII-3"
"D2Y286","U11-theraphotoxin-Hhn1p"
"D2Y2K2","U4-theraphotoxin-Hhn1s"
"D2Y2E1","U8-theraphotoxin-Hhn1c 1"
"W4VRW1","U17-barytoxin-Tl1c"
"W4VSA2","U17-barytoxin-Tl1a"
"Q1ELV0","M-zodatoxin-Lt7a"
"C0JB14","Dermonecrotic toxin LhSicTox-alphaIV1i"
"C0JB23","Dermonecrotic toxin LlSicTox-alphaIV1i"
"P0DJE5","Alpha-latroinsectotoxin-Lh1a"
"Q75WH5","U9-hexatoxin-Mg1a"
"D2Y2M8","U3-theraphotoxin-Hhn1a 16"
"D2Y2L3","U4-theraphotoxin-Hhn1a"
"D2Y2A1","U7-theraphotoxin-Hhn1a 2"
"D2Y295","U11-theraphotoxin-Hhn1a"
"D2Y252","Hainantoxin-XVIII-2"
"D2Y2H2","Hainantoxin-XVIII-4"
"D2Y2F2","Hainantoxin-X-2"
"W4VS46","Toxin ICK-10"
"D2Y2D1","Hainantoxin-III 9"
"D2Y2P8","U11-theraphotoxin-Hhn1b"
"C0JAT6","Dermonecrotic toxin LhSicTox-alphaIA1iii"
"C0JAQ5","Dermonecrotic toxin LhSicTox-alphaIA2ai"
"C0JAU4","Dermonecrotic toxin LarSicTox-alphaIB2bii"
"B2KKV7","Dermonecrotic toxin LiSicTox-alphaIA2bii"
"C0JB54","Dermonecrotic toxin StSicTox-betaIF1"
"Q8I912","Dermonecrotic toxin LlSicTox-betaIA1"
"D2Y2I5","Mu-theraphotoxin-Hhn2h"
"D2Y2J6","U4-theraphotoxin-Hhn1o"
"D2Y2C8","Hainantoxin-XVII.3"
"D2Y2J8","U4-theraphotoxin-Hhn1c"
"D2Y292","U11-theraphotoxin-Hhn1a"
"D2Y2A2","U7-theraphotoxin-Hhn1a 3"
"D2Y2J2","U4-theraphotoxin-Hhn1k"
"D2Y1Y6","Mu-theraphotoxin-Hhn2k"
"D2Y2K6","U4-theraphotoxin-Hhn1a"
"D2Y233","Mu-theraphotoxin-Hhn1b 2"
"D2Y2A5","U7-theraphotoxin-Hhn1d"
"D2Y262","U11-theraphotoxin-Hhn1a"
"P0DP96","Mu-theraphotoxin-Osp1b"
"C0JAY3","Dermonecrotic toxin LsaSicTox-alphaIB1bii"
"P84001","U3-ctenitoxin-Asp1a"
"B2KKV8","Dermonecrotic toxin LiSicTox-alphaIA2aiii"
"Q1ELU5","M-zodatoxin-Lt4a"
"P0DP98","Mu-theraphotoxin-Se1a"
"Q1ELU4","M-zodatoxin-Lt4b"
"B3EWF6","Latartoxin-2c"
"B3EWF4","Latartoxin-2a"
"P61507","M-lycotoxin-Hc1a"
"W4VRX8","Toxin ICK-12"
"W4VSA5","U16-barytoxin-Tl1f"
"W4VS12","U17-barytoxin-Tl1a"
"W4VRU8","U16-barytoxin-Tl1b"
"Q1ELU3","M-zodatoxin-Lt3a"
"Q9XZC0","Alpha-latrocrustotoxin-Lt1a"
"P0DJE6","Delta-latroinsectotoxin-Lh1a"
"C0HJV6","Cytoinsectotoxin-4"
"D2Y2G9","U3-theraphotoxin-Hhn1p"
"D2Y2M2","U3-theraphotoxin-Hhn1b"
"D2Y2N0","U3-theraphotoxin-Hhn1a 17"
"D2Y2A9","U7-theraphotoxin-Hhn1h"
"D2Y287","U11-theraphotoxin-Hhn1q"
"Q1ELU7","M-zodatoxin-Lt6a/c"
"B2KKW0","Dermonecrotic toxin LiSicTox-alphaII2"
"C0JAY0","Dermonecrotic toxin LdSicTox-alphaIB3avi"
"D2Y2N6","U3-theraphotoxin-Hhn1h"
"D2Y268","U11-theraphotoxin-Hhn1a"
"A0A0J9X1W9","Mu-theraphotoxin-Hd1a"
"W4VRY7","U13-barytoxin-Tl1a"
"W4VS15","U16-barytoxin-Tl1c"
"P58396","Kinin-like peptide-S"
"C0JB40","Dermonecrotic toxin LcsSicTox-betaIC1"
"P0DL59","Mu-theraphotoxin-Phlo2a"
"G0LXV8","Alpha-latrotoxin-Lh1a"
"C0JAS7","Dermonecrotic toxin LspaSicTox-alphaIA2ii"
"C0JAZ8","Dermonecrotic toxin LvSicTox-alphaIC1bv"
"Q1KY80","Dermonecrotic toxin LlSicTox-alphaIII1ii"
"Q7Z1Y7","Dermonecrotic toxin LarSicTox-alphaIB2a"
"D2Y2M5","U3-theraphotoxin-Hhn1a 14"
"D2Y2M0","U3-theraphotoxin-Hhn1q"
"D2Y2N3","U3-theraphotoxin-Hhn1f"
"D2Y293","U11-theraphotoxin-Hhn1a"
"D2Y215","U4-theraphotoxin-Hhn1x"
"D2Y1Y3","Hainantoxin-III 5"
"D2Y299","U9-theraphotoxin-Hhn1a"
"D2Y2D7","Mu-theraphotoxin-Hhn1b 3"
"D2Y2I9","U4-theraphotoxin-Hhn1a"
"P0DP95","Mu-theraphotoxin-Osp1a"
"D2Y2E9","Omega-theraphotoxin-Hhn1f 3"
"D2Y2N1","U3-theraphotoxin-Hhn1a 18"
"D2Y241","U3-theraphotoxin-Hhn1a 2"
"D2Y2L5","Omega-theraphotoxin-Hhn1d"
"D2Y201","Mu-theraphotoxin-Hhn2e"
"D2Y2E0","U8-theraphotoxin-Hhn1b"
"D2Y2H4","U7-theraphotoxin-Hhn1l"
"D2Y2I1","U11-theraphotoxin-Hhn1a"
"D2Y231","U4-theraphotoxin-Hhn1b"
"D2Y239","Omega-theraphotoxin-Hhn1a 2"
"D2Y263","U11-theraphotoxin-Hhn1a"
"D2Y1Z6","Mu-theraphotoxin-Hhn2j 4"
"D2Y228","U4-theraphotoxin-Hhn1a"
"D2Y229","U4-theraphotoxin-Hhn1a"
"D2Y2J3","U4-theraphotoxin-Hhn1l"
"D2Y276","U11-theraphotoxin-Hhn1f"
"P0CH76","Hainantoxin F7-28.42"
"W4VSI8","Toxin ICK-8"
"Q1ELU8","M-zodatoxin-Lt6a/b"
"D2Y2G4","U3-theraphotoxin-Hhn1a 9"
"D2Y2M6","U3-theraphotoxin-Hhn1a 15"
"D2Y238","Omega-theraphotoxin-Hhn1b"
"D2Y257","U11-theraphotoxin-Hhn1a"
"D2Y2E7","U8-theraphotoxin-Hhn1g"
"D2Y283","U11-theraphotoxin-Hhn1m"
"D2Y1Z1","Mu-theraphotoxin-Hhn2p"
"D2Y204","U4-theraphotoxin-Hhn1a"
"D2Y1X6","Mu-theraphotoxin-Hhn2b 1"
"W4VRU3","Toxin ICK-41"
"P0C2L1","Dermonecrotic toxin LlSicTox-alphaIII-1"
"C0JAV4","Dermonecrotic toxin LapSicTox-alphaIB1aii"
"D2Y234","Mu-theraphotoxin-Hhn1c"
"C0JAY1","Dermonecrotic toxin LsaSicTox-alphaIB1ai"
"C0JAX2","Dermonecrotic toxin LdSicTox-alphaIB3b"
"D2Y2G6","U3-theraphotoxin-Hhn1a 11"
"D2Y2D0","Hainantoxin-XX.3"
"D2Y298","U11-theraphotoxin-Hhn1a"
"D2Y1Z4","Hainantoxin-III 6"
"D2Y2C7","Hainantoxin-XVII.2"
"D2Y206","U4-theraphotoxin-Hhn1a"
"D2Y290","U11-theraphotoxin-Hhn1t"
"D2Y202","Mu-theraphotoxin-Hhn2f"
"D2Y2K8","U4-theraphotoxin-Hhn1a"
"C0JAW2","Dermonecrotic toxin LapSicTox-alphaIB1b3"
"B3EWF2","Latartoxin-1a"
"C0HJU9","Toxin LyeTx 1"
"P60178","Mu-agatoxin-Aa1c"
"P61096","Mu-segestritoxin-Sf1b"
"Q5Y4V2","U3-agatoxin-Ao1g"
"C0JAT9","Dermonecrotic toxin LspaSicTox-alphaIA1i"
"C0JAV5","Dermonecrotic toxin LapSicTox-alphaIB1aiii"
"Q56JA9","Dermonecrotic toxin LsSicTox-alphaIA1"
"D2Y2C3","U5-theraphotoxin-Hhn1a"
"D2Y214","U4-theraphotoxin-Hhn1w"
"D2Y272","U11-theraphotoxin-Hhn1c"
"D2Y282","U11-theraphotoxin-Hhn1l"
"D2Y273","U11-theraphotoxin-Hhn1d"
"D2Y2E6","U8-theraphotoxin-Hhn1f"
"D2Y264","U11-theraphotoxin-Hhn1a"
"P0DL58","Mu-theraphotoxin-Phlo1b"
"W4VSI3","U16-barytoxin-Tl1f"
"W4VRU5","U17-barytoxin-Tl1b"
"W4VSB9","Toxin ICK-9"
"W4VRY9","U9-barytoxin-Tl1a"
"C0JAR8","Dermonecrotic toxin LhSicTox-alphaIA2aviii"
"C0JB20","Dermonecrotic toxin LamSicTox-alphaIV1iii"
"C0JB00","Dermonecrotic toxin LruSicTox-alphaIC1b"
"C0JAR3","Dermonecrotic toxin LhSicTox-alphaIA2avi"
"C0JB72","Dermonecrotic toxin SdSicTox-betaIIB1bii"
"C0JB80","Dermonecrotic toxin SdSicTox-betaIIB1bvi"
"P0DJE7","Delta-latroinsectotoxin-Lhe1a"
"C0JAR7","Dermonecrotic toxin LhSicTox-alphaIA2avii"
"D2Y227","U4-theraphotoxin-Hhn1h"
"W4VRV2","Toxin ICK-11"
"W4VS23","Toxin ICK-20"
"C0JB09","Dermonecrotic toxin LarSicTox-alphaIII1"
"D2Y216","U4-theraphotoxin-Hhn1ab"
"D2Y279","U11-theraphotoxin-Hhn1i"
"D2Y2H6","U6-theraphotoxin-Hhn1a 2"
"D2Y2R3","Hainantoxin-X.3"
"P0DJE3","Alpha-latrotoxin-Lhe1a"
"Q1ELU0","M-zodatoxin-Lt2b"
"C0JB92","Dermonecrotic toxin LspiSicTox-betaIII1"
"C0JB52","Dermonecrotic toxin SpaSicTox-betaIF1"
"C0JB78","Dermonecrotic toxin SdSicTox-betaIIB1aiii"
"W4VSI9","U10-barytoxin-Tl1a"
"D2Y2F0","Omega-theraphotoxin-Hhn1f 4"
"D2Y2E5","U8-theraphotoxin-Hhn1e"
"D2Y200","Mu-theraphotoxin-Hhn2d"
"D2Y219","U4-theraphotoxin-Hhn1ac"
"D2Y2K0","U4-theraphotoxin-Hhn1q"
"D2Y2H7","U6-theraphotoxin-Hhn1a 3"
"D2Y1X8","Mu-theraphotoxin-Hhn2b 3"
"D2Y223","U4-theraphotoxin-Hhn1d"
"W4VRW6","U16-barytoxin-Tl1c"
"B3EWF3","Latartoxin-1b"
"B3EWF5","Latartoxin-2b"
"C0JB76","Dermonecrotic toxin SdSicTox-betaIIB1ai"
"W4VRW4","U16-barytoxin-Tl1a"
"W4VSI1","U17-barytoxin-Tl1d"
"D2Y203","Mu-theraphotoxin-Hhn2g"
"D2Y2H9","U11-theraphotoxin-Hhn1v"
"D2Y2D2","Hainantoxin-III 10"
"D2Y285","U11-theraphotoxin-Hhn1o"
"P0C2U8","M-lycotoxin-Ls2a"
"Q02989","Alpha-latroinsectotoxin-Lt1a"
"C0JAX1","Dermonecrotic toxin LdSicTox-alphaIB1avi"
"Q1ELU2","M-zodatoxin-Lt3b"
"C0JB84","Dermonecrotic toxin SdSicTox-betaIIB1bx"
"P0DP97","Mu-theraphotoxin-Ep1a"
"P0DQJ4","U1-theraphotoxin-Agm2a"
"D2Y247","U3-theraphotoxin-Hhn1m"
"D2Y2I3","Hainantoxin-III 12"
"D2Y271","U11-theraphotoxin-Hhn1b"
"D2Y1Z2","Mu-theraphotoxin-Hhn2q"
"D2Y2J9","U4-theraphotoxin-Hhn1p"
"D2Y2K1","U4-theraphotoxin-Hhn1r"
"Q5Y4V4","U3-agatoxin-Ao1e"
"A5A3H1","Omega-hexatoxin-Ar1b"
"P0DMQ4","Kappa-hexatoxin-Hmo1d"
"P11058","Mu-agatoxin-Aa1b"
"P61790","Omega-sparatoxin-Hv1b"
"P55817","Mu-diguetoxin-Dc1c"
"B6DCQ9","U3-lycotoxin-Ls1d"
"P85274","U7-ctenitoxin-Co1a"
"P83747","Kappa-theraphotoxin-Tb1c"
"B6DCX0","U7-lycotoxin-Ls1b"
"B6DCR0","U3-lycotoxin-Ls1a"
"B6DCZ4","U8-lycotoxin-Ls1m"
"B6DCY4","U8-lycotoxin-Ls1d"
"P0DL75","RTX-VII"
"P84018","U13-ctenitoxin-Pn1c"
"P83256","Delta-amaurobitoxin-Pl1a"
"Q5Y4W9","U2-agatoxin-Ao1q"
"Q5Y4Y2","U2-agatoxin-Ao1d"
"P85079","Omega-lycotoxin-Gsp2671a"
"C0HLG1","Oxyopinin-3c"
"P84012","U7-ctenitoxin-Pk1a"
"P49270","U1-cyrtautoxin-As1c"
"Q5Y4X5","U2-agatoxin-Ao1k"
"S0F204","Omega-hexatoxin-Hi1f"
"P83580","Omega-hexatoxin-Ar1a"
"P83588","Omega-actinopoditoxin-Mb1a"
